,Scientific name,common name,size,weight,nesting place,lifespan,country,crow or raven,average size,average weight,average lifespan
0,Corvus bennetti,little crow,38-45,290-500,trees,14-20,Australia,crow,41.5,395.0,17.0
1,Corvus coronoides,Australian raven,46-53,650,trees,22,Australia,raven,49.5,,
2,Corvus meeki,bougainville crow,40-41,,trees,6-10,Australia,crow,40.5,,8.0
3,Corvus mellori,little raven,48-50,365-660,trees,15-20,Australia,raven,49.0,512.5,17.5
4,Corvus moneduloides,newCaledonian crow,40-43,225-355,trees,,Australia,crow,41.5,290.0,
5,Corvus orru,torresian crow,48-53,430-700,trees,20,Australia,crow,50.5,565.0,
6,Corvus tasmanicus,forest raven,50-53,650,trees,6-10,Australia,raven,51.5,,8.0
7,Corvus tristis,grey crow,42-45,520,trees,,Australia,crow,43.5,,
8,Corvus Validus,long-billed crow,45-53,450-1000,,,Australia,crow,49.0,725.0,
9,Corvus woodfordi,white-billed crow,40-41,,trees,,Australia,crow,40.5,,
10,Corvus kubaryi,mariana crow,38,260,trees,14,Pacific Islands,crow,,,
11,Corvus enca,slender-billed crow,40-47,222-285,trees,,Asia,crow,43.5,253.5,
12,Corvus florensis,flores crow,40,175,trees,,Asia,crow,,,
13,Corvus macrorhynchos,large-billed crow,46-59,450-1000,trees,,Asia,crow,52.5,725.0,
14,Corvus levaillantii,easternjungle crow,46-59,,trees,15-19,Asia,crow,52.5,,17.0
15,Corvus culminates,Indianjungle crow,46-59,,trees,15-19,Asia,crow,52.5,,17.0
16,Corvus splendens,house crow,40,250-350,trees,7-8,Asia,crow,,300.0,7.5
17,Corvus torquatus,collared crow,50-55,347-512,trees,7,Asia,crow,52.5,429.5,
18,Corvus typicus,piping crow,35-40,175,trees,6-10,Asia,crow,37.5,,8.0
19,Corvus unicolor,banggai crow,39,220-280,trees,,Asia,crow,,250.0,
20,Corvus cornix,hooded crow,48-52,520,trees,12-16,Europe,crow,50.0,,14.0
21,Corvus corone,carrion crow,48-52,520,trees or cliffs,4,Europe,crow,50.0,,
22,Corvus rhipidurus,fan-tailed raven,47-51,,cliffs,,Europe,raven,49.0,,
23,Corvus ruficollis,brown-necked raven,52-56,500-647,trees or cliffs,,Europe,raven,54.0,573.5,
24,Corvus corax,common raven,63,69-2000,trees or cliffs,10-15,Arctic,raven,,1034.5,12.5
25,Corvus brachyrhynchos,American crow,40-53,320-620,trees,7-8,North America,crow,46.5,470.0,7.5
26,Corvus cryptoleucus,chihuahuan raven,50,530,trees,21,North America,raven,,,
27,Corvus imparatus,Tamaulipas crow,34-38,192-237,trees,,North America,crow,36.0,214.5,
28,Corvus jamaicensis,Jamaican crow,35-38,,trees,,North America,crow,36.5,,
29,Corvus leucgnaphalus,white-necked crow,42-46,,,,North America,crow,44.0,,
30,Corvus nasicus,Cuban crow,40-42,336-339,trees,,North America,crow,41.0,337.5,
31,Corvus ossifragus,fish crow,36-40,280,trees,10-14,North America,crow,38.0,,12.0
32,Corvus palmarum,palm crow,34-38,263-315,trees,,North America,crow,36.0,289.0,
33,Corvus albicollis,white-necked raven,51,760-860,cliffs,25-50,Africa,raven,,810.0,37.5
34,Corvus albus,pied crow,46,400-700,trees or buildings,20,Africa,crow,,550.0,
35,Corvus capensis,cape crow,48-50,400-453,trees,12-20,Africa,crow,49.0,426.5,16.0
36,Corvus crassirostris,thick-billed raven,64,115-150,trees or cliff ledges,,Africa,raven,,132.5,
37,Corvus edithae,somali crow (dwarf raven),44-46,435-450,cliffs,,Africa,crow,45.0,442.5,
